text,term,polarity
The bread is top notch as well.,bread,positive
The bread is top notch as well.,food,positive
I have to say they have one of the fastest delivery times in the city.,delivery times,positive
I have to say they have one of the fastest delivery times in the city.,service,positive
Food is always fresh and hot- ready to eat!,Food,positive
Food is always fresh and hot- ready to eat!,food,positive
Did I mention that the coffee is OUTSTANDING?,coffee,positive
Did I mention that the coffee is OUTSTANDING?,food,positive
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",place,positive
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",ambience,positive
"I trust the people at Go Sushi, it never disappoints.",people,positive
"I trust the people at Go Sushi, it never disappoints.",anecdotes/miscellaneous,positive
"Straight-forward, no surprises, very decent Japanese food.",Japanese food,positive
"Straight-forward, no surprises, very decent Japanese food.",food,positive
"BEST spicy tuna roll, great asian salad.",asian salad,positive
"BEST spicy tuna roll, great asian salad.",spicy tuna roll,positive
"BEST spicy tuna roll, great asian salad.",food,positive
Try the rose roll (not on menu).,rose roll,positive
Try the rose roll (not on menu).,menu,neutral
Try the rose roll (not on menu).,food,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",drinks,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",lychee martini,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",food,positive
"I love the drinks, esp lychee martini, and the food is also VERY good.",food,positive
"In fact, this was not a Nicoise salad and was barely eatable.",Nicoise salad,negative
"In fact, this was not a Nicoise salad and was barely eatable.",food,negative
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,positive
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,neutral
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,neutral
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",food,positive
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",service,negative
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",live entertainment,positive
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",ambience,positive
Our waiter was horrible; so rude and disinterested.,waiter,negative
Our waiter was horrible; so rude and disinterested.,service,negative
The sangria's - watered down.,sangria,negative
The sangria's - watered down.,food,negative
"menu - uneventful, small.",menu,negative
"menu - uneventful, small.",food,negative
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,sushi,positive
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,portions,positive
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,price,positive
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,food,positive
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,price,positive
Great food but the service was dreadful!,food,positive
Great food but the service was dreadful!,service,negative
Great food but the service was dreadful!,food,positive
Great food but the service was dreadful!,service,negative
The portions of the food that came out were mediocre.,portions of the food,neutral
The portions of the food that came out were mediocre.,food,neutral
the two waitress's looked like they had been sucking on lemons.,waitress's,negative
the two waitress's looked like they had been sucking on lemons.,service,negative
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",staff memebers,positive
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",parking,positive
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",service,positive
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",anecdotes/miscellaneous,positive
